['Saturday - 08 May 2021', '10:00', 'Bodyweight Bandits', '1523510']
['Saturday - 08 May 2021', '10:30', 'Holistic Studio Time', '1522665']
['Saturday - 08 May 2021', '10:30', 'Gym Entry Time', '1392150']
['Saturday - 08 May 2021', '10:45', 'Ride Studio Time', '1522954']
['Saturday - 08 May 2021', '11:00', 'Sweat Studio Time', '1522534']
['Saturday - 08 May 2021', '11:00', 'Gym Entry Time', '1409160']
['Saturday - 08 May 2021', '11:30', 'Gym Entry Time', '1412068']
['Saturday - 08 May 2021', '12:00', 'Gym Time', '1419781']
['Saturday - 08 May 2021', '12:30', 'Gym Entry Time', '1421025']
['Saturday - 08 May 2021', '13:00', 'Gym Entry Time', '1421897']
['Saturday - 08 May 2021', '13:30', 'Gym Entry Time', '1435835']
['Saturday - 08 May 2021', '14:00', 'Gym Entry Time', '1436397']
['Saturday - 08 May 2021', '14:30', 'Gym Entry Time', '1436551']
['Saturday - 08 May 2021', '15:00', 'Gym Entry Time', '1436963']
['Saturday - 08 May 2021', '15:30', 'Gym Time', '1437217']
['Saturday - 08 May 2021', '16:00', 'Gym Entry Time', '1437371']
['Saturday - 08 May 2021', '16:30', 'Gym Entry Time', '1437525']
['Saturday - 08 May 2021', '17:00', 'Gym Entry Time', '1437878']
['Saturday - 08 May 2021', '17:30', 'Gym Entry Time', '1437957']
['Saturday - 08 May 2021', '18:00', 'Gym Entry Time', '1438184']
['Saturday - 08 May 2021', '18:30', 'Gym Entry Time', '1439212']
['Saturday - 08 May 2021', '19:00', 'Last Entry Time', '1496815']
['Sunday - 09 May 2021', '19:00', 'Last Entry Time', '1496815']
['Sunday - 09 May 2021', '19:00', 'Last Entry Time', '1496815']
['Sunday - 09 May 2021', '08:00', 'Gym Entry Time', '1448677']
['Sunday - 09 May 2021', '08:30', 'Gym Entry Time', '1449435']
['Sunday - 09 May 2021', '09:00', 'Sweat Studio Time', '1522544']
['Sunday - 09 May 2021', '09:00', 'Gym Entry Time', '1449941']
['Sunday - 09 May 2021', '09:30', 'Ride Studio Time', '1522964']
['Sunday - 09 May 2021', '09:30', ' Escalate', '1523514']
['Sunday - 09 May 2021', '09:30', 'Gym Entry Time', '1450295']
['Sunday - 09 May 2021', '10:00', 'Gym Entry Time', '1450697']
['Sunday - 09 May 2021', '10:00', 'Holistic Studio Time', '1522675']
['Sunday - 09 May 2021', '10:30', 'Sweat Studio Time', '1522554']
['Sunday - 09 May 2021', '10:30', 'Gym Entry Time', '1452013']
['Sunday - 09 May 2021', '10:45', 'Ride Studio Time', '1522974']
['Sunday - 09 May 2021', '11:00', 'Gym Time', '1452365']
['Sunday - 09 May 2021', '11:30', 'Gym Entry Time', '1452825']
['Sunday - 09 May 2021', '11:30', 'Holistic Studio Time', '1522685']
['Sunday - 09 May 2021', '12:00', 'Gym Entry Time', '1522685']
['Sunday - 09 May 2021', '12:30', 'Gym Entry Time', '1453737']
['Sunday - 09 May 2021', '13:00', 'Gym Entry Time', '1454186']
['Sunday - 09 May 2021', '13:30', 'Gym Entry Time', '1455803']
['Sunday - 09 May 2021', '14:00', 'Gym Entry Time', '1456157']
['Sunday - 09 May 2021', '14:30', 'Gym Entry Time', '1456361']
['Sunday - 09 May 2021', '15:00', 'Gym Entry Time', '1456615']
['Sunday - 09 May 2021', '15:30', 'Gym Entry Time', '1456924']
['Sunday - 09 May 2021', '16:00', 'Gym Entry Time', '1457379']
['Sunday - 09 May 2021', '16:30', 'Gym Entry Time', '1457483']
['Sunday - 09 May 2021', '17:00', 'Gym Entry Time', '1457637']
['Sunday - 09 May 2021', '17:30', 'Gym Entry Time', '1457791']
['Sunday - 09 May 2021', '18:00', 'Gym Entry Time', '1457893']
['Sunday - 09 May 2021', '18:30', 'Gym Entry Time', '1457945']
['Sunday - 09 May 2021', '19:00', 'Last Entry Time', '1496867']
['Monday - 10 May 2021', '19:00', 'Last Entry Time', '1496867']
['Monday - 10 May 2021', '19:00', 'Last Entry Time', '1496867']
['Monday - 10 May 2021', '06:00', 'Gym Entry Time', '1496867']
['Monday - 10 May 2021', '06:30', 'Gym Entry Time', '1460148']
['Monday - 10 May 2021', '07:00', 'Gym Entry Time', '1463982']
['Monday - 10 May 2021', '07:00', 'Ride Studio Time', '1522985']
['Monday - 10 May 2021', '07:00', ' Escalate', '1523471']
['Monday - 10 May 2021', '07:00', 'Holistic Studio Time', '1522696']
['Monday - 10 May 2021', '07:30', 'Gym Entry Time', '1464136']
['Monday - 10 May 2021', '08:00', 'Gym Entry Time', '1464288']
['Monday - 10 May 2021', '08:00', 'Sweat Studio Time', '1522375']
['Monday - 10 May 2021', '08:30', 'Gym Entry Time', '1465341']
['Monday - 10 May 2021', '09:00', 'Gym Entry Time', '1469741']
['Monday - 10 May 2021', '09:30', 'Gym Entry Time', '1469845']
['Monday - 10 May 2021', '10:00', 'Gym Entry Time', '1469949']
['Monday - 10 May 2021', '10:30', 'Gym Entry Time', '1470157']
['Monday - 10 May 2021', '11:00', 'Gym Entry Time', '1470313']
['Monday - 10 May 2021', '11:30', 'Gym Entry Time', '1470417']
['Monday - 10 May 2021', '12:00', ' Gymnastic Conditioning', '1523487']
['Monday - 10 May 2021', '12:00', 'Holistic Studio Time', '1522711']
['Monday - 10 May 2021', '12:00', 'Gym Entry Time', '1470573']
['Monday - 10 May 2021', '12:30', 'Ride Studio Time', '1523005']
['Monday - 10 May 2021', '12:30', 'Gym Entry Time', '1470677']
['Monday - 10 May 2021', '13:00', 'Gym Entry Time', '1470885']
['Monday - 10 May 2021', '13:00', 'Sweat Studio Time', '1522425']
['Monday - 10 May 2021', '13:30', 'Gym Entry Time', '1471039']
['Monday - 10 May 2021', '14:00', 'Gym Entry Time', '1471193']
['Monday - 10 May 2021', '14:30', 'Gym Entry Time', '1471295']
['Monday - 10 May 2021', '15:00', 'Gym Entry Time', '1471447']
['Monday - 10 May 2021', '15:30', 'Gym Entry Time', '1471549']
['Monday - 10 May 2021', '16:00', 'Gym Entry Time', '1471755']
['Monday - 10 May 2021', '16:30', 'Gym Entry Time', '1471807']
['Monday - 10 May 2021', '17:00', 'Gym Entry Time', '1472269']
['Monday - 10 May 2021', '17:00', 'Holistic Studio Time', '1522725']
['Monday - 10 May 2021', '17:30', 'Drill Sergeant', '1523491']
['Monday - 10 May 2021', '17:30', 'Ride Studio Time', '1523025']
['Monday - 10 May 2021', '17:30', 'Gym Entry Time', '1472423']
['Monday - 10 May 2021', '18:00', 'Gym Entry Time', '1472629']
['Monday - 10 May 2021', '18:00', 'Sweat Studio Time', '1522475']
['Monday - 10 May 2021', '18:30', 'Gym Entry Time', '1472939']
['Monday - 10 May 2021', '18:45', 'Ride Studio Time', '1523035']
['Monday - 10 May 2021', '19:00', 'Gym Entry Time', '1473145']
['Monday - 10 May 2021', '19:30', 'Gym Entry Time', '1473301']
['Monday - 10 May 2021', '20:00', 'Gym Entry Time', '1473455']
['Monday - 10 May 2021', '20:30', 'Gym Entry Time', '1473559']
['Monday - 10 May 2021', '21:00', 'Gym Entry Time', '1473942']
['Monday - 10 May 2021', '21:30', 'Gym Entry Time', '1474273']
['Monday - 10 May 2021', '22:00', 'Last Entry Time', '1474273']
['Tuesday - 11 May 2021', '22:00', 'Last Entry Time', '1474273']
['Tuesday - 11 May 2021', '22:00', 'Last Entry Time', '1474273']
['Tuesday - 11 May 2021', '06:00', 'Gym Entry Time', '1474273']
